questionnaire,item,value,agreement,question,mapped_value
NFCC1993,My personal space is usually messy and disorganized.,Preference for Order and Structure,-1,Should my personal space usually be messy and disorganized?,Security: personal
NFCC1993,"In most social conflicts, I can easily see which side is right and which is wrong.",Discomfort With Ambiguity,1,Should I be able to easily see which side is right and which is wrong in most social conflicts?,Universalism: objectivity
NFCC1993,I tend to struggle with most decisions.,Decisiveness,-1,Should I struggle with most decisions?,Self-direction: action
NFCC1993,"When considering most conflict situations, 1 can usually see how both sides could be right.",Closed-Mindedness,-1,Should I usually see how both sides could be right in most conflict situations?,Universalism: tolerance
NFCC1993,I don't like to be with people who are capable of unexpected actions.,Preference for Order and Structure,1,Should I avoid being with people who are capable of unexpected actions?,Security: personal
NFCC1993,I don't like to be with people who are capable of unexpected actions.,Preference for Predictability,1,Should I avoid being with people who are capable of unexpected actions?,Preference for Predictability
NFCC1993,I prefer to socialize with familiar friends because I know what to expect from them.,Preference for Predictability,1,Should I prefer to socialize with familiar friends because I know what to expect from them?,Preference for Predictability
NFCC1993,I think that I would learn best in a class that lacks clearly stated objectives and requirements.,Preference for Order and Structure,-1,Would I learn best in a class that lacks clearly stated objectives and requirements?,Security: personal
NFCC1993,"When thinking about a problem, I consider as many different opinions on the issue as possible.",Closed-Mindedness,-1,Should I consider as many different opinions on the issue as possible when thinking about a problem?,Universalism: tolerance
NFCC1993,I like to know what people are thinking all the time.,Discomfort With Ambiguity,1,Should I like to know what people are thinking all the time?,Universalism: objectivity
